Text;Class
I'm a Professional DevOps, SRE, CloudOps, Cloud Automation, Linux Administrator, and Teacher. I design and build infrastructure from scratch, choosing the best technology for you. IÕve spent the last few years building culture and infrastructure for small businesses, startups, and large organizations.\n\nI have a great experience with\n_ Cloud Providers\n- Amazon Web Services\n- Google Cloud Platform\n- Microsoft Azure\n- Alibaba Cloud\n- DigitalOcean\n- Vultr\n\n_ Operating Systems\n- Ubuntu Server\n- Windows Server\n\n_ Infrastructure as Code\n- Terraform\n- Ansible\n- Vagrant\n\n_ Version Control System\n- Git\n\n_ Containers\n- Docker\n- Podman\n\n_ Containers Orchestration\n- Swarm\n- Kubernetes\n- Rancher (RKE)\n\n_ Automatic Deployment\n- GitLab CI\n- GitHub Actions\n- Bitbucket Pipelines\n- Jenkins\n- ArgoCD\n- FluxCD\n\n_ API Gateway\n- Kong\n- Traefik\n- Envoy\n\n_ Monitoring\n- Prometheus\n- Grafana\n\n_ Logs Management\n- ELK\n- Loki\n\n_ Database and Memory\n- MySQL/MariaDB\n- PostgreSQL\n- MongoDB\n- Redis;3
Professional IT Engineer helps organizations migrate and manage workload in the cloud securely and reliably.\n\nExperience in multiple projects as DevOps/SRE and Architect.;3
Experienced Information Technology Support Technician with a demonstrated history of working in the information technology and services industry. Skilled in Technical Support, Administration, Management, Networking, and Leadership. im currently learning provision for aws / gcp, kubernetes, CI/CD, SRE.;3
Solution oriented approach with a deep background as IT Consultant, fluently with Linux Sysadmin tasks and create applications for providing customized solution. Working as a DevOps that ensuring automation and continuous deployments.\n\nHas experience creating high performance and robust application by using Python, Ruby, NodeJS, Go and PHP. with some well known framework for each programming languange (Django, Ruby On Rails, etc). Backed with caching system (memcache & redis) with database mysql, postgresql or MongoDB. With TDD development approach.\n\nFamiliar with CI/CD knowledge and it's tooling such as Git, GitLab, Ansible, Terraform, Vault, etc.;3
I'm a Product Designer that helps to translate ideas into pixel-perfect life. I have experience working in various industries, such as agencies and startups.\n\nI understand some parts of the requirements of a product. That is why I approach product design as an end-to-end process. I offer help with product strategy, user experience design, user research, user interface design, visual design, creative writing, user testing, and usability testing.\n\nI am a mentor and a public speaker in several communities and companies, and also a leader in a UX community in Indonesia. Because I like to share what I know with other people Ñ Sharing is caring.\n\nI'm open to new opportunities and excited to help great ideas grow.\n\nBlog Ñ medium.com/@muchtarruddin\nBusiness Ñ muchtarruddin99@gmail.com\nPortfolio Ñ behance.net/muchtarruddin;2
Laravel, JS Newbie, Vue and Flutter;0
Hi! IÕm Alfian, a Junior Frontend Developer at Weekend Inc. Experienced Frontend Web Developer with a demonstrated history of working in the information technology and services industry.;0
Experienced Android Developer with a demonstrated history of working in the information technology and services industry. Skilled in Java and Kotlin (Especially in Kotlin), Android Development, MVVM Architecture, Kotlin Coroutines for Handling The Background Thread, ROOM Database, Rest API With Retrofit, Dependency Injection With Dagger Hilt. Strong engineering professional with a Bachelor's degree focused in Information System from University of Gunadarma. My hobby is made a simple android apps project and upload it to my Github. Right now i'm learning Flutter and Kotlin of course.;1
I am an Android Developer with over several years of experience and love to work on projects that can help people live more productive lives. I use my skills in creating simple, elegant and functional applications for both native and cross-platform devices with the latest technologies like Go Programming Language and Kotlin for building successful applications. When Im not on the job, youll find me running around with friends;1
Mobile Developer at PT. Cashlez Worldwide Indonesia;1
Saya adalah seorang mahasiswa teknik informatika yang tertarik di bidang mobile development;1
Android developer at DANA Indonesia. Informatics graduates of Brawijaya University. Passionate in mobile app development.;1
Highly interested in infrastructure and software development. Currently, I'm a DevOps engineer. It is fun to explore and learn the DevOps path. Always interested to learn new things is the key to start exploring and being a fast learner.;3
Help to build IndonesiaÕs cashless society through mobile payment.;1
IÕm an Android App Developer who loves to create apps that functioning well and look great too. I build an app with Java or Kotlin, but mainly Kotlin, in various apps I take part to develop, I use Dagger2 as dependency injection, MVVM with android architecture components, or MVP as a design pattern, and RXJava as asynchronous code solution. I believe in the software development world, keep learning something new is a key aspect to be always relevant.;1
Hello, my name is Joko Purnomo, you can call me Joko.\n\nI am the type of person who is systematic at work, considerate in determining a solution to a problem, and I tend to think critically and rationally.\n\nCurrently I am a Back End Developer at a company in Depok and also a student at STMIK Himsya Semarang.\n\nMy main interest is in all things related to Technology, because of that interest, I often spend the time I have just to study the world of Technology including the world of Programming.;0
I am a happy and proud tech enthusiast. Involved in building incredible apps to help people. Experienced on node js for the last 4 years.;0
Greethings! I'm Ali Akbar\nI was a programmer especially for Java as Backend. I've been more then 3 years working as programmer also as data engineer, fullstack, and sometime could be as support for user for some case.\n\nMy experience as long a programmer there's a technoly familiar for me :\n- Spring, Hibernate, Java, PHP, Laravel, Struts\n- Oracle, DB2, Posgre, SQLServer, MySQL\n- RestAPI, Postman;0
Hi i am Adhitya one of many backend developer in this one wide world, i am developing website mostly with PHP and laravel for the framework but i am open to learn new thing feel free to contact me. i am single after all LOL;0
Experienced PHP Programmer with a demonstrated history of working in the information technology and services industry. Skilled in Oracle Database & MySQL, PHP, jQuery,Ajax,API, QA, Laravel and CodeIgniter 3. Strong engineering professional with a Bachelor of Computer focused in Information Technology from Budi Luhur University.;0
Skilled and passionate backend developer with 4 years experience. knowledgeable in php programming language (laravel/lumen framework, codeigniter), nodejs, and familiar with using SQL server database, mySql, oracle, redis, mongoDB. also learning about devOps like jenkins and docker;0
Experienced Analyst Programmer with a demonstrated history of working in the information technology and services industry. Skilled in Codeigniter, MySQL, RestFull API, Node.Js. Strong engineering professional with a Bachelor's degree focused in Information Technology from Universitas Negeri Semarang.;0
Golang | Node Js | Microservices\n\n\n\nSkills and knowledge:\nProduct Management - Product Development - Software Architecture - Software Development - CI/CD Ð Trainer Software Development;0
I am Adam Aulia Haqi, a Fresh Graduate from UDINUS Semarang. I am interested and very excited to learn, gain experience and pursue a career as a UI/UX Designers. I am open to new ideas.\nReach me at frasadam27@gmail.com;2
Halo! I love getting insights on many things, but I get super excited when it comes to design like UI /UX, graphics or product. So feel free to send me a DM for business or collaboration inquiries. check my portfolio here : bit.ly/nabilagitPortfolio2021\n\nOh! I have a family Digital Printing called Gladyna. If you have design or printing inquiries, you can send an email to gladina.partner@gmail.com and talk more about it, thanks for reading and have a great one!;2
I Have a high interest in the field of design, especially UI/UX Design. For the last 2 years, I've been working as a Freelance UI/UX Designer. I'm also working on a website development project using CMS Wordpress. IÕm active on some freelance websites.;2
Saya adalah seorang freshgraduated yang senang dalam dunia UI/UX Design. Saya suka mengeksplore hal baru. Saya senang belajar mengenai user research, problem solving, dan analisis. Sebelumnya saya pernah mengikuti program internship sebagai UI/UX Design dan juga sebagai front end web developer. Dengan basic pengalaman saya tersebut, selain memahami design saya juga mengerti mengenai HTML, CSS, Js yang merupakan satu kesatuan yang tidak dapat dipisahkan dalam dunia UI/UX Design.\nAnda dapat melihat portfolio saya pada link berikut www.figma.com/proto/EUflj1UqpIBL16PhvXaB48/Portfolio?node-id=114%3A53&scaling=min-zoom;2
Enthusiastic Creative Designer known for creating digital mockups using adobe creative cloud and a very strong attention to detail. Reads and interpret plans, follows orders and works in fast-paced, team-based environments to complete skilled work.;2
Hai. My name is Hanafi Abdul Aziz,\nI'm graduate from Muhammadiyah University of Surakarta and majoring in informatics. I have passion in multimedia such as graphic design, UI/UX design, photography and videography. I made several designs for logo, packaging, invitation, calendars. IÕm also good at several applications such as Adobe Photoshop, Corel Draw, Figma, Adobe Lightroom,Adobe Premiere Pro and Adobe illustrator.;2
Hiii!!\nYou can call me Tiwi and tiwi is a fourth-year informatics engineering at Satya Wacana Christian University. She has been freelancing since 2019 and is looking for new opportunities. I'm really looking forward to working with all of you -Margaretha Tiwi;2
Full Stack Developer yang memiliki ketekunan dalam belajar dan fokus dalam mengerjakan sesuatu, berpengalaman membuat projek secara individu maupun kelompok. Mampu menyelesaikan semua tugas dengan baik seperti aplikasi perpustakaan, chat dan online shop. Untuk versi web menggunakan react js sedangkan android menggunakan react native. Menguasai 2 bahasa pemrogaman dasar PHP dan Javascript;0
Hi there! I'm Yusril, a Web Developer. Mostly on Frontend, native HTML CSS JS or library, like Reactjs. I can do Backend as well, using Nodejs. Currently building on personal projects and sites.;0
I'm a Product Designer that helps to translate ideas into pixel-perfect life. I have experience working in various industries, such as agencies and startups.\n\nI understand some parts of the requirements of a product. That is why I approach product design as an end-to-end process. I offer help with product strategy, user experience design, user research, user interface design, visual design, creative writing, user testing, and usability testing.\n\nI am a mentor and a public speaker in several communities and companies, and also a leader in a UX community in Indonesia. Because I like to share what I know with other people Ñ Sharing is caring.\n\nI'm open to new opportunities and excited to help great ideas grow.\n\nBlog Ñ medium.com/@muchtarruddin\nBusiness Ñ muchtarruddin99@gmail.com\nPortfolio Ñ behance.net/muchtarruddin;2
Technology Enthusiasts | Keep Learning \nA person who like and always want to know about technology. Try to learn even though it's only from a small problem and try hard when itÕs become a job;0
I love writing code and solving complex problems. I have been obsessed with the idea \n of using software to solve practical problems. Technology and software engineering is like a never-ending puzzle that I am passionately engaged to explore and solve. I do believe in the power of programming to transform, simplify and improve the lives of people around the world!\n\nSkills / Interests :\nAndroid, Kotlin, Flutter, Java, Jetpack, PostgreSQL, SQL, MongoDB, Git, Go Language, Docker, RESTful API, Google Map, ML Kits;1
I am a professional 2D Motion Designer, with extensive knowledge in creating high quality animations for various types of digital media. I have worked on the animation project related to the following categories:;2
Mahasiswa semester 4 Teknik Informatika di Politeknik Negeri Jember . Pemikir kreatif, dan pekerja keras. Memiliki kemampuan dalam mendesain. Dapat mengoperasikan Adobe Photoshop, CorelDRAW, Canva dan Figma. Berpengalaman magang di Pecetakan Shakila (Jember) selama 4 bulan di waktu SMK.;2
Saya adalah seorang mahasiswi dari Politeknik Negeri Jember Jurusan Teknik Informatika. Saya mampu berkerja sama dengan baik personal maupun dengan tim,komunikatif, kritis dan bertanggung jawab. Saya mempunyai keahlian dalam bidang desain UI/UX figma, develop web front-end website dan bercita - cita sebagai web designer.;0
Mahasiswa Politeknik Negeri Jember jurusan Teknologi Informasi, program studi D4-Teknik Informatika 2020. - Memiliki peran dalam bidang programming, content writing, dan digital marketing. Menyukai hal-hal yang berhubungan dengan dunia IT, bercita-cita menjadi seorang Full Stack Web Developer.;0
A college student who love technology and create projects about web and multi-platform apps.;0
Hi there! My name is Andi Surya. I'm a Mobile Engineer based on Malang. I have made a few apps published on Playstore. Interest to learn new technology especially in Mobile Development using Flutter or Native such as Kotlin or Swift;1
I have an educational background in the Information Technology, I graduated from Informatics Engineering at Parahyangan Catholic University in Bandung. I made a final project about Development of BPMS in Mobile Cordova Platform (Coordova Tasklist). I really excited learning new things such as my final project of learning about cordova and test the effectiveness and reusability in the business process management system.;1
Seorang profesional IT dengan pengalaman mulai tahun 2017 di bidang pengembangan aplikasi, dengan keahlian khusus dalam membuat aplikasi berbasis mobile. Saya dapat mengimplementasikan aplikasi dari build hingga siap pakai. Kekuatan terbesar saya terletak pada kemampuan penelitian dan analisa saya serta keinginan untuk berkembang.;1
I am UI/UX Designer based in Yogyakarta. Experienced for 1+ years in User Interface and User Experience Design. I focus on creating experiences that are functional and visually compelling.;2
Human-centered UI/UX Designer with 1+ year experience in building tech products along with product managers and developers. Passionate to prioritize human values and experience to humanize technology. Experienced in designing visual aspects and user flow to enhance the usability of digital products.;2
A persistent UI/UX design enthusiast who always has eagerness to learn, especially related in UI/UX design. Starting career in web development, then decided to completely switch career path to UI/UX design with concern to design engaging user experience through seamless visual user interface design. Having knowledge in user researches, flowchart- sitemap, wireframing, mockup-prototyping, usability testing, and application development. Being able to be a results-driven individual in every design initiative, both independently and as a team member.;2
My name is Amesthysia and I\u2019m currently living in Jakarta. My skills include, but are not limited to: UX/UI Design, UX Research, and Software Testing;2
I'm a UX/UI designer with over a year of experience and always keep up with the latest trends. I help turn visions and ideas into meaningful and useful products. I define myself as a hard-working person with good communication skills to communicate my problem-solving abilities. Able to work under high pressure as an individual worker or as a team, reliable, and highly respects the opinions and ideas of others.;2
Detailed and curious, having passion in designing interfaces either mobile or website, as a Bachelor of Informatics.;2
A software engineer who experienced as a Full-stack Engineer in various industries, but I preferred to work as a Backend Engineer because I believe I could understand the needs of our system and make it a better one.;0
I really enjoy learning about the latest technology. Currently, I'm learning web development using express.js as Back-End and Next.js as Front-End. And I'm also learning about mobile development using Kotlin.;0
I am very excited to learn all about technology, especially in web development. I also frequently attend trainings/bootcamp from several educational platforms to improve my ability. I have studied this web programming since two years ago. Moreover, I have basic skills related to network administrator.;0
Kreative dan fast learning. Lulusan Sistem Informasi Universitas Teknologi Yogyakarta dengan predikat pujian. Saya berpengalaman membangun sistem website fullstack dengan menggunakan PHP native, CSS dan MySql. Serta berpengalaman membuat design website mengunakan framework Vue.js dan Javascript. Sekarang saya bekerja sebagai Mobile Developer menggunakan React Native. Selain membangun sistem saya juga tertarik pada dunia UI/UX serta design, saya tak jarang membagikan hasil line art saya di Instagram pribadi @mioyaaa___ ;0
Rif'an adalah seorang lulusan sarjana pendidikan matematika. Tidak hanya menekuni bidang pendidikan matematika, Rif'an juga memperdalam ilmu teknologi informasi (IT). Saat ini Rif'an memfokuskan diri untuk lebih mendalami IT khususnya Full Stack Website Developer. IT tidak terlepas dari ilmu matematika dan menjadikan motivasi yang besar bagi Rif'an untuk terus berkembang dalam menambah ilmu IT yang lain.;0
Hello, my name is Steven Humam. I am a student majoring in Information Technology at Dian Nuswantoro University. Experienced in Software Engineering & IT Infrasctrure Engineering. Now I am prefer to develop with Go as my Programming language. \u00a0I am currently continuing my ;3
A Last-year college student who's looking for new experiences. An IT enthusiast who loves to learn about codes and networkings, especially server, programming, and database management;3
AWS cloud engineer passionate about automation, DevOps, system administration, and leveraging cloud technologies to improve the agility and efficiency of businesses;3
Passionate about creating awesome web experiences with { HTML, CSS, JavaScript, React-Js & Redux }. Working to bring beautiful UI designs to life. Actively looking for Frontend/UI Developer ( Software Engineer) Role;0
Full stack web developer with a demonstrated history of working in the computer software industry. Strong information technology professional skilled in Java, Microsoft Excel, SQL, Javascript, HTML, and CSS.;0
Spent my day to write code on Android Studio also love about Innovation and Technology. I'm currently certified as Google Associated Android Developer. Skills and Technology that I used : Kotlin, Flutter, Android Jetpack, BLoC, GitFlow.Contact me at sangbintang917@gmail.com or DM on LinkedIn;1
Hi, i'm Firman from Aceh, Indonesia. I am enthusiastic about learning coding, specifically in the JavaScript programming language My favourite Tech Stack is React js, Next js, Typescript, TailwindCSS, Firebase, Node js, Express js, MongoDB visit my github profile to show more : github.com/alfirmanpahlepi;0
As a skilled Product Designer with a passion for UI design, my Visual Communication Design background enhances my creative approach. I have a growth mindset, constantly seeking to improve and make daily progress. In my leisure time, I expand my design knowledge by reading books and articles and honing my skills through hands-on exploration. Currently, I am working on building a Design System for Stockbit-Bibit and sharing my expertise as a UI/UX mentor for Eduwork. Over three years of diverse experience, I have effectively used design to solve problems across multiple industries, startups, and freelance projects.;2
Front End Developer and Business Development to provide an attractive website appearance and be able to perform digital business operating systems. Undergraduate from International Informatics Engineering dual degree class (State Polytechnic of Jember with Management and Science University Malaysia). Improve competence both hard skills and soft skills by participating in organizations, internships and lectures properly. Interested in technology-based work, digital business and personal branding.;0
Lulusan Politeknik Negeri Jember, Jurusan Teknologi Informasi, Program Studi Teknik Informatika. Aktif dan berperan penting dalam berbagai aktivitas keorganisasian mahasiswa. Memiliki pengalaman magang sebagai Web Developer di perusahaan teknologi, dan pengalaman sebagai Freelancer serta fasih berbahasa inggris.;0
¥ Frontend Web Developer with 1+ years of professional experiences in Web Designing and Development. ¥ Tech stack: HTML(5), CSS(3), Less, Bootstrap, JavaScript, jQuery, ReactJS, VueJS, nuxtJS, PHP, Laravel;0
Seorang profesional IT dengan pengalaman mulai tahun 2017 di bidang pengembangan aplikasi, dengan keahlian khusus dalam membuat aplikasi berbasis mobile. Saya dapat mengimplementasikan aplikasi dari build hingga siap pakai. Kekuatan terbesar saya terletak pada kemampuan penelitian dan analisa saya serta keinginan untuk berkembang.;1
I am a Software Engineer that skilled in Mobile Developing (Flutter), also a little bit of Web Developing, Software Testing and handling requirement as Product Manager. Started mobile developing since last 2021 and currently expanding knowledge by studying React Native programming language.;1
Synthia is UI/UX designer with psychology background who passionate solve peoples's problem through technology. Her experience and educational background in human behavior help her to empathize with user Besides, she is also like creative process and learning new things. She believe learning and improve skill is something that not have limit.;2
Hi! am Afni Eka Rahmawati, a student at Alma Ata University, Yogyakarta, majoring in Information Systems. I'm currently in the process of leaming to master the field of UI UX Design. am very confident in myself that I can become a UI UX Designer Specialist. With my skills continuing to grow, know more and more that the world of UI UX is not just about making designs. But rather how can we meet user needs and be a good and right solution to every problem that users experience;2
IÕm a graduated Bachelor of Computer and Diploma of English Linguistic of Double Degree Program from the University of Merdeka Malang, who have interested in UI & UX Design, Graphic Designer, and Creative Industry. I do design with graphic and prototyping tools such as Figma, Adobe Photoshop, Adobe Illustrator, CorelDraw, Balsamiq, and Whimsical. I have working experience as a Graphic Designer at 2 start-up companies and as a UI/UX Designer at a company.;2
I am a hard working, motivated and enthusiastic in web application developer. With my record in developing web application , I am able to analyse customer requirement and use my technical coding skills create truly effective, user-friendly web application solutions Javascript progamming language;0
eager and determined back-end developer who has a passion for coding and problem-solving;0
Hi! Welcome to my Digital Curriculum Vitae. I'am a software engineering graduate. I can do fullstack website with laravel, make rest api with laravel and node js. I'm a passionate and energetic person, like to work hard to get my goals. I like to try ideas that are out of the box;0
I'm a software developer from Yogyakarta, Indonesia. Mainly programming for Mobile Application Development with both Native and Flutter. I'm also experienced with Node and Firebase.Specialties - Language: Kotlin, Java, Dart, Javascript - Framework: Android Native, Flutter, Node - Architecture: MVVM, MV;1
Mobile Developers (Android & iOS);1
I have 4 years experience in mobile apps development especially in Android. I can use Java and Kotlin. And always expand my skill to learning new technology.;1
Hello, I'm Mobile Developer who can Android, iOS, and Flutter. ;1
Hi! IÕm Cellin, an UI/UX designer enthusiast, Since in the university I have already designed some UX projects. I use Figma and Axure as my UI/UX design tools, I have excellent adaptability and communication skills.;2
IÕam a UI/UX Designer in DANA Indonesia. Handling Payment Project : Send Money, Request Money, DANA Kaget, Split Bill, Cashout.;2
I am an aspiring UI/UX Designer. Graduate with a bachelor degree in architecture engineering, I pivot myself to UI/UX and product design. I self-taught myself about design that focuses more on user-centered and psychological matters. As such, I am interested in human psychology and how design can impact a brand image that users capture, and how a brand can boost itself through scientific and well-purposed design. In my previous job experience, I learn skills that focus on collaboration and mentorship programs. Although my educational background seems unrelated to the tech industry, I studied architecture design principles that are adaptable and applicable to other design fields. Additionally, the soft skills I gained throughout my past experience are transferable and still relevant to the new tech fields that I am in.;2
hi, I'm Firman Wahyudi, an active student at the Jember State Polytechnic, I'm a junior backend developer, have a interested in it especially web development, Work on Codeigniter, Laravel, Express js;0
Experienced Full Stack Engineer with a demonstrated history of working in the computer software industry. Skilled in .Net, C#, Javascript, jQuery, Vue.js, ExpressJS, AngularJS, Xamarin, Flutter, Ms.SQL, MongoDB. Strong engineering professional with a Bachelor's degree focused in Computer Science from Institut Teknologi Sepuluh Nopember Surabaya. ;0
Currently studying at Jember State Polytechnic. Interested in frontend development and want to build a career as a frontend developer.;0
Experienced Mobile Application Developer with a demonstrated history of working in the computer software industry. Skilled in Android, Java, Android Development, and Kotlin.;1
Hi, my name is Pangondion K Naibaho, I'm a freshgraduate of Informatics Engineering at Institut Teknologi Del. I'm currently interested in Mobile apps Development. You can reach me through my contact;1
Hello, I am a graduate student majoring in Informatics Engineering at Atma Jaya Yogyakarta University. I have my interest in Mobile Apps Development and Back End Development. I'm a hard worker person about my works, tasks, and challenges ahead and also a quick learner;1
Experienced Frontend Web Developer with a demonstrated history of working in the information technology and services industry. Skilled in HTML, CSS, Bootstrap, JavaScript and ReactJs. Strong engineering professional with a Bachelor of Engineering - BE focused in Information Technology from Institut Teknologi - PLN Jakarta.;0
IÕm a person who challenged by new things. IÕd like to find the best practice to be written in my code. I have experience in the back-end and front-end development. But recently IÕm focusing in the back-end development and microservice using golang. I have under 1 year freelance job experience and also 4 years studied informatics engineering.;0
